Hex,レジ番号,所属国,時刻,現在緯度,現在経度,出発予測緯度,出発予測経度,到着予測緯度,到着予測経度
800c01,K7066,インド,2026-07-29 22:57:09,22.5291,84.3975,22.0741,83.8629,22.5291,84.3975
c2c363,330002,カナダ,2026-07-29 22:58:13,48.7255,2.9823,50.0401,4.9762,48.7255,2.9823
600806,4K-AI06,アゼルバイジャン,2026-07-29 22:58:13,41.1131,16.5881,41.0817,19.3211,41.1131,16.5881
354556,T.22-2,スペイン,2026-07-29 22:58:13,39.3431,-0.7147,40.1772,-3.1825,39.3431,-0.7147
48d982,0111,ポーランド,2026-07-29 22:58:13,51.2601,22.8527,51.6458,21.4594,51.2601,22.8527
e483ba,FAB2590,ブラジル,2026-07-29 22:58:13,-5.0861,-40.0636,-4.1178,-38.9191,-5.0861,-40.0636
c2c363,330002,カナダ,2026-07-29 22:59:19,48.6078,2.8934,50.0401,4.9762,48.6078,2.8934
600806,4K-AI06,アゼルバイジャン,2026-07-29 22:59:19,41.1138,16.401,41.0817,19.3211,41.1138,16.401
354556,T.22-2,スペイン,2026-07-29 22:59:19,39.29,-0.5454,40.1772,-3.1825,39.29,-0.5454
48d982,0111,ポーランド,2026-07-29 22:59:19,51.2601,22.8527,51.6458,21.4594,51.2601,22.8527
e483ba,FAB2590,ブラジル,2026-07-29 22:59:19,-5.0861,-40.0636,-4.1178,-38.9191,-5.0861,-40.0636
c2c363,330002,カナダ,2026-07-29 23:00:23,48.4926,2.8097,50.0401,4.9762,48.4926,2.8097
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:00:23,41.1146,16.2184,41.0817,19.3211,41.1146,16.2184
354556,T.22-2,スペイン,2026-07-29 23:00:23,39.292,-0.3692,40.1772,-3.1825,39.292,-0.3692
48d982,0111,ポーランド,2026-07-29 23:00:23,51.2601,22.8527,51.6458,21.4594,51.2601,22.8527
e483ba,FAB2590,ブラジル,2026-07-29 23:00:23,-5.0861,-40.0636,-4.1178,-38.9191,-5.0861,-40.0636
c2c363,330002,カナダ,2026-07-29 23:01:28,48.3672,2.7281,50.0401,4.9762,48.3672,2.7281
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:01:28,41.1148,16.0228,41.0817,19.3211,41.1148,16.0228
354556,T.22-2,スペイン,2026-07-29 23:01:28,39.302,-0.1786,40.1772,-3.1825,39.302,-0.1786
48d982,0111,ポーランド,2026-07-29 23:01:28,51.2601,22.8527,51.6458,21.4594,51.2601,22.8527
e483ba,FAB2590,ブラジル,2026-07-29 23:01:28,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:02:34,48.2639,2.6816,50.0401,4.9762,48.2639,2.6816
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:02:34,41.1149,15.8772,41.0817,19.3211,41.1149,15.8772
354556,T.22-2,スペイン,2026-07-29 23:02:34,39.3094,-0.0311,40.1772,-3.1825,39.3094,-0.0311
e483ba,FAB2590,ブラジル,2026-07-29 23:02:34,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:03:41,48.1303,2.6161,50.0401,4.9762,48.1303,2.6161
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:03:41,41.1151,15.673,41.0817,19.3211,41.1151,15.673
354556,T.22-2,スペイン,2026-07-29 23:03:41,39.319,0.1624,40.1772,-3.1825,39.319,0.1624
e483ba,FAB2590,ブラジル,2026-07-29 23:03:41,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:04:47,47.9789,2.5418,50.0401,4.9762,47.9789,2.5418
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:04:47,41.1147,15.4492,41.0817,19.3211,41.1147,15.4492
354556,T.22-2,スペイン,2026-07-29 23:04:47,39.3292,0.3802,40.1772,-3.1825,39.3292,0.3802
e483ba,FAB2590,ブラジル,2026-07-29 23:04:47,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:05:50,47.8572,2.4826,50.0401,4.9762,47.8572,2.4826
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:05:50,41.1141,15.2689,41.0817,19.3211,41.1141,15.2689
354556,T.22-2,スペイン,2026-07-29 23:05:50,39.3369,0.5517,40.1772,-3.1825,39.3369,0.5517
e483ba,FAB2590,ブラジル,2026-07-29 23:05:50,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:06:55,47.7223,2.4171,50.0401,4.9762,47.7223,2.4171
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:06:55,41.1129,15.08,41.0817,19.3211,41.1129,15.08
354556,T.22-2,スペイン,2026-07-29 23:06:55,39.3455,0.7474,40.1772,-3.1825,39.3455,0.7474
e483ba,FAB2590,ブラジル,2026-07-29 23:06:55,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:08:02,47.6037,2.3598,50.0401,4.9762,47.6037,2.3598
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:08:02,41.1115,14.9024,41.0817,19.3211,41.1115,14.9024
354556,T.22-2,スペイン,2026-07-29 23:08:02,39.3527,0.9174,40.1772,-3.1825,39.3527,0.9174
e483ba,FAB2590,ブラジル,2026-07-29 23:08:02,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
800c01,K7066,インド,2026-07-29 22:51:17,2026-07-29 22:57:55,Rourkela Airport (RRK / VERK),Rourkela Airport (RRK / VERK)
c2c363,330002,カナダ,2026-07-29 23:09:10,47.4673,2.2944,50.0401,4.9762,47.4673,2.2944
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:09:10,41.1094,14.6924,41.0817,19.3211,41.1094,14.6924
354556,T.22-2,スペイン,2026-07-29 23:09:10,39.3608,1.1145,40.1772,-3.1825,39.3608,1.1145
e483ba,FAB2590,ブラジル,2026-07-29 23:09:10,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:10:16,47.3393,2.2333,50.0401,4.9762,47.3393,2.2333
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:10:16,41.1073,14.5026,41.0817,19.3211,41.1073,14.5026
354556,T.22-2,スペイン,2026-07-29 23:10:16,39.3671,1.2883,40.1772,-3.1825,39.3671,1.2883
e483ba,FAB2590,ブラジル,2026-07-29 23:10:16,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
48d982,0111,ポーランド,2026-07-29 22:51:17,2026-07-29 23:01:07,Lublin Airport (LUZ / EPLB),Lublin Airport (LUZ / EPLB)
c2c363,330002,カナダ,2026-07-29 23:11:22,47.212,2.1728,50.0401,4.9762,47.212,2.1728
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:11:22,41.1053,14.3126,41.0817,19.3211,41.1053,14.3126
354556,T.22-2,スペイン,2026-07-29 23:11:22,39.3763,1.4492,40.1772,-3.1825,39.3763,1.4492
e483ba,FAB2590,ブラジル,2026-07-29 23:11:22,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:12:28,47.0714,2.1064,50.0401,4.9762,47.0714,2.1064
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:12:28,41.1026,14.1069,41.0817,19.3211,41.1026,14.1069
354556,T.22-2,スペイン,2026-07-29 23:12:28,39.3985,1.6133,40.1772,-3.1825,39.3985,1.6133
e483ba,FAB2590,ブラジル,2026-07-29 23:12:28,-5.4903,-40.3311,-4.1178,-38.9191,-5.4903,-40.3311
c2c363,330002,カナダ,2026-07-29 23:13:31,46.9504,2.0494,50.0401,4.9762,46.9504,2.0494
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:13:31,41.0999,13.929,41.0817,19.3211,41.0999,13.929
354556,T.22-2,スペイン,2026-07-29 23:13:31,39.4162,1.7504,40.1772,-3.1825,39.4162,1.7504
c2c363,330002,カナダ,2026-07-29 23:14:33,46.8441,1.9997,50.0401,4.9762,46.8441,1.9997
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:14:33,41.0972,13.7725,41.0817,19.3211,41.0972,13.7725
354556,T.22-2,スペイン,2026-07-29 23:14:33,39.4313,1.8645,40.1772,-3.1825,39.4313,1.8645
e483ba,FAB2590,ブラジル,2026-07-29 23:14:33,-6.869,-41.2409,-4.1178,-38.9191,-6.869,-41.2409
c2c363,330002,カナダ,2026-07-29 23:15:47,46.7172,1.9406,50.0401,4.9762,46.7172,1.9406
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:15:47,41.0934,13.5854,41.0817,19.3211,41.0934,13.5854
354556,T.22-2,スペイン,2026-07-29 23:15:47,39.448,1.9954,40.1772,-3.1825,39.448,1.9954
e483ba,FAB2590,ブラジル,2026-07-29 23:15:47,-6.9709,-41.3084,-4.1178,-38.9191,-6.9709,-41.3084
c2c363,330002,カナダ,2026-07-29 23:16:57,46.5535,1.8647,50.0401,4.9762,46.5535,1.8647
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:16:57,41.0884,13.3464,41.0817,19.3211,41.0884,13.3464
354556,T.22-2,スペイン,2026-07-29 23:16:57,39.4834,2.1464,40.1772,-3.1825,39.4834,2.1464
e483ba,FAB2590,ブラジル,2026-07-29 23:16:57,-7.0561,-41.3649,-4.1178,-38.9191,-7.0561,-41.3649
c2c363,330002,カナダ,2026-07-29 23:18:05,46.4,1.7941,50.0401,4.9762,46.4,1.7941
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:18:05,41.0834,13.12,41.0817,19.3211,41.0834,13.12
354556,T.22-2,スペイン,2026-07-29 23:18:05,39.5208,2.2885,40.1772,-3.1825,39.5208,2.2885
